,#1 movie,year,total gross
0,The Super Mario Bros. Movie,2023,"$2,359,834,859"
1,Top Gun: Maverick,2022,"$7,369,357,270"
2,Spider-Man: No Way Home,2021,"$4,482,808,453"
3,Bad Boys for Life,2020,"$2,113,846,800"
4,Avengers: Endgame,2019,"$11,363,360,889"
5,Black Panther,2018,"$11,892,160,011"
6,Star Wars: Episode VIII - The Last Jedi,2017,"$11,075,387,520"
7,Finding Dory,2016,"$11,375,225,455"
8,Jurassic World,2015,"$11,148,780,747"
9,Guardians of the Galaxy,2014,"$10,368,861,849"
10,Iron Man 3,2013,"$10,955,524,800"
11,The Avengers,2012,"$10,843,641,372"
12,Harry Potter and the Deathly Hallows: Part 2,2011,"$10,155,695,359"
13,Avatar,2010,"$10,585,388,159"
14,Transformers: Revenge of the Fallen,2009,"$10,615,886,283"
15,The Dark Knight,2008,"$9,652,648,585"
16,Spider-Man 3,2007,"$9,679,019,852"
17,Pirates of the Caribbean: Dead Man's Chest,2006,"$9,203,041,941"
18,Star Wars: Episode III - Revenge of the Sith,2005,"$8,833,618,311"
19,Shrek 2,2004,"$9,354,636,012"
20,Finding Nemo,2003,"$9,232,953,228"
21,Spider-Man,2002,"$9,164,913,438"
22,Harry Potter and the Sorcerer's Stone,2001,"$7,959,296,828"
23,How the Grinch Stole Christmas,2000,"$7,476,224,772"
24,Star Wars: Episode I - The Phantom Menace,1999,"$7,340,743,186"
25,Titanic,1998,"$6,696,278,852"
26,Men in Black,1997,"$6,077,250,085"
27,Independence Day,1996,"$5,600,750,973"
28,Batman Forever,1995,"$5,106,129,264"
29,The Lion King,1994,"$5,061,909,583"
30,Jurassic Park,1993,"$4,823,116,106"
31,Batman Returns,1992,"$4,519,644,026"
32,Terminator 2: Judgment Day,1991,"$4,336,073,530"
33,Ghost,1990,"$4,326,824,577"
34,Batman,1989,"$4,084,060,815"
35,Who Framed Roger Rabbit,1988,"$3,542,179,944"
36,Beverly Hills Cop II,1987,"$3,343,230,996"
37,Top Gun,1986,"$3,065,297,715"
38,Back to the Future,1985,"$3,017,379,123"
39,Ghostbusters,1984,"$3,066,288,000"
40,Star Wars: Episode VI - Return of the Jedi,1983,"$2,738,195,414"
41,E.T. the Extra-Terrestrial,1982,"$3,001,761,432"
42,Superman II,1981,"$898,686,960"
43,Star Wars: Episode V - The Empire Strikes Back,1980,"$1,642,400,771"
44,Superman,1979,"$1,229,428,453"
45,Grease,1978,"$826,413,013"
46,Star Wars: Episode IV - A New Hope,1977,"$443,497,461"
