,movie,international-profit,domestic-profit,foreign-profit
0,The Super Mario Bros. Movie,"$725,776,389","$376,099,610","$349,676,779"
1,Ant-Man and the Wasp: Quantumania,"$474,402,922","$212,930,294","$261,472,628"
2,John Wick: Chapter 4,"$352,730,254","$163,130,254","$189,600,000"
3,Creed III,"$271,650,498","$155,550,498","$116,100,000"
4,Scream VI,"$167,443,772","$107,243,772","$60,200,000"
5,Dungeons & Dragons: Honor Among Thieves,"$160,705,033","$76,787,245","$83,917,788"
6,Shazam! Fury of the Gods,"$132,128,334","$57,528,334","$74,600,000"
7,Pathaan,"$128,780,000","$17,487,476","$95,092,334"
8,Chebi: My Fluffy Friend,"$85,507,876",-,"$85,507,876"
9,Cocaine Bear,"$85,231,820","$64,388,510","$20,843,310"
10,Titanic 25 Year Anniversary,"$68,705,727","$15,033,795","$53,671,932"
11,Air,"$57,318,428","$36,318,428","$21,000,000"
12,Magic Mike's Last Dance,"$56,805,156","$26,005,156","$30,800,000"
13,Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village,"$56,119,404","$10,117,806","$46,001,598"
14,65,"$56,100,231","$31,900,231","$24,200,000"
15,Knock at the Cabin,"$54,666,149","$35,397,980","$19,268,169"
16,Plane,"$52,225,303","$32,111,181","$20,114,122"
17,Jesus Revolution,"$52,035,413","$52,035,413",-
18,Mummies,"$51,775,970","$4,275,970","$47,500,000"
19,Missing,"$45,102,025","$32,502,025","$12,600,000"
20,Asterix & Obelix: The Middle Kingdom,"$44,457,764",-,"$44,457,764"
21,80 for Brady,"$39,761,909","$39,330,588","$431,321"
22,The Pope's Exorcist,"$39,023,718","$11,623,718","$27,400,000"
23,Operation Fortune: Ruse de guerre,"$37,565,359","$6,496,125","$31,069,234"
24,Alibi.com 2,"$33,135,344",-,"$33,135,344"
25,Doraemon the Movie: Nobita's Sky Utopia,"$29,932,832",-,"$29,932,832"
26,BTS: Yet to Come in Cinemas,"$29,291,883","$8,093,270","$21,198,613"
27,Ride On,"$25,910,892","$64,759","$25,846,133"
28,Detective Conan: Black Iron Submarine,"$23,517,358",-,"$23,517,358"
29,The House of No Man,"$19,490,980",-,"$19,490,980"
30,Champions,"$18,323,405","$16,109,970","$2,213,435"
31,My Happy Marriage,"$17,340,751",-,"$17,340,751"
